"Latest: Time (s)","Latest: Temperature (°C)"
0,20.0172578222
0.5,19.9892870769
1,19.9760362795
1.5,20.0040090556
2,20.0525831885
2.5,20.0687717165
3,20.0717149327
3.5,20.0673000907
4,20.0658284533
4.5,20.0673000907
5,20.0569983824
5.5,20.0511114337
6,20.0393369718
6.5,20.0275617559
7,20.0187298482
7.5,20.0172578222
8,20.0025369111
8.5,20.0040090556
9,20.0113695999
9.5,20.0260898009
10,20.0687717165
10.5,20.082015821
11,20.1055585601
11.5,20.132040582
12,20.1526351161
12.5,20.1599897587
13,20.1673441135
13.5,20.2188165706
14,20.2776251667
14.5,20.320250126
15,20.3540494494
15.5,20.3922503193
16,20.4333814001
16.5,20.446600284
17,20.4818463367
17.5,20.5126815243
18,20.537639872
18.5,20.5596593781
19,20.5787410133
19.5,20.6139639474
20,20.6447790419
20.5,20.6623855955
21,20.7019948654
21.5,20.7269301678
22,20.753329016
22.5,20.7855897802
23,20.8193116908
23.5,20.8588914824
24,20.904325968
24.5,20.9380292756
25,21.0010259002
25.5,21.0405727508
26,21.1020761835
26.5,21.1738090905
27,21.239666535
27.5,21.3084311406
28,21.384487897
28.5,21.4546728361
29,21.5350683956
29.5,21.6315089642
30,21.7060062669
30.5,21.8082228528
31,21.8899679224
31.5,22.0008685963
32,22.1044336054
32.5,22.2137929768
33,22.3187401942
33.5,22.4236515417
34,22.5314408918
34.5,22.6508417347
35,22.7658345643
35.5,22.86915054
36,23.0247972489
36.5,23.1382196092
37,23.2545170781
37.5,23.3707824583
38,23.4739423129
38.5,23.5523864307
39,23.6380791882
39.5,23.7106885785
40,23.7861914768
40.5,23.8573286586
41,23.908135314
41.5,23.9792570303
42,24.0445653425
42.5,24.0953558722
43,24.1562991247
43.5,24.2302940411
44,24.3057316219
44.5,24.408720262
45,24.5595524187
45.5,24.7350070955
46,24.9017332773
46.5,25.0785827882
47,25.251063334
47.5,25.3901960299
48,25.5336689202
48.5,25.6452552642
49,25.7626363614
49.5,25.8713220609
50,26.020585182
50.5,26.1133332347
51,26.2017359831
51.5,26.271300773
52,26.3365196399
52.5,26.4017405818
53,26.4626155566
53.5,26.5205937974
54,26.5800237838
54.5,26.6467043237
55,26.7090392265
55.5,26.7844252851
56,26.864166089
56.5,26.9555131499
57,27.0425184971
57.5,27.1338833315
58,27.2238078132
58.5,27.3021376417
59,27.3630666105
59.5,27.4152956296
60,27.471881588
60.5,27.5023529537
61,27.5458859721
61.5,27.5763608679
62,27.6169963963
62.5,27.6794062809
63,27.7345647236
63.5,27.7853732725
64,27.8507053959
64.5,27.9233059624
65,27.9697756263
65.5,28.0336783644
66,28.1033998733
66.5,28.1600560505
67,28.2225310725
67.5,28.3053600243
68,28.3533207013
68.5,28.4129156183
69,28.469611248
69.5,28.5161365234
70,28.5757548073
70.5,28.6266555069
71,28.6804720099
71.5,28.7241125337
72,28.7852177261
72.5,28.8390568147
73,28.9161915461
73.5,28.9598600959
74,29.0137254602
74.5,29.0501257235
75,29.0996363139
75.5,29.165176253
76,29.2350998685
76.5,29.318153814
77,29.3924837234
77.5,29.4624575767
78,29.5426557775
78.5,29.6214168593
79,29.7074949758
79.5,29.7935990687
80,29.8782696469
80.5,29.9395991511
81,29.999481882
81.5,30.0666834468
82,30.1163652392
82.5,30.177750039
83,30.2289153016
83.5,30.2786286257
84,30.3225015363
84.5,30.3634566031
85,30.3941773873
85.5,30.4409974662
86,30.4863630798
86.5,30.531737303
87,30.5580876103
87.5,30.5932259412
88,30.6312984249
88.5,30.6708418459
89,30.7045323363
89.5,30.7309022666
90,30.7763243188
90.5,30.8173585489
91,30.8613321476
91.5,30.9082469274
92,30.9566382781
92.5,31.0197098145
93,31.0681260677
93.5,31.1121503705
94,31.1635236306
94.5,31.2046312906
95,31.2574959277
95.5,31.303029104
96,31.3441645483
96.5,31.3970652211
97,31.447039727
97.5,31.4940859817
98,31.5484971509
98.5,31.5955676197
99,31.6544217177
99.5,31.6956302632
100,31.7486257138
100.5,31.785436803
101,31.8414034192
101.5,31.876759371
102,31.9342271378
102.5,31.9710748594
103,32.0256230901
103.5,32.0595396893
104,32.1111641196
104.5,32.1480477981
105,32.196745933
105.5,32.2247903188
106,32.263174074
106.5,32.3119040182
107,32.3370126371
107.5,32.3901958389
108,32.4300940127
108.5,32.4744362239
109,32.5587183317
109.5,32.6844808513
110,32.8740457346
110.5,33.0682849442
111,33.2063256586
111.5,33.3340862504
112,33.4307208417
112.5,33.5080733619
113,33.5690912579
113.5,33.6420482564
114,33.7001421095
114.5,33.7299428458
115,33.7761461399
115.5,33.8208731468
116,33.8506989201
116.5,33.8939573877
117,33.9178297745
117.5,33.9402137978
118,33.9640940057
118.5,33.9969359152
119,34.0133597551
119.5,34.0357590097
120,34.079074444
120.5,34.1014842791
121,34.1224033977
121.5,34.1328641446
122,34.1507986993
122.5,34.1582721196
123,34.1567774031
123.5,34.1657459458
124,34.1836847874
124.5,34.1926550876
125,34.1971404578
125.5,34.1881698641
126,34.1881698641
126.5,34.1896649223
127,34.1971404578
127.5,34.2046164012
128,34.2375154083
128.5,34.2749102812
129,34.3138118748
129.5,34.3691911468
130,34.4201003279
130.5,34.5009959995
131,34.5609505494
131.5,34.6074341007
132,34.6644364523
132.5,34.7019516005
133,34.7259669874
133.5,34.7680046486
134,34.7965380143
134.5,34.8205710277
135,34.8686505922
135.5,34.9302790529
136,34.9648642326
136.5,35.003971935
137,35.0551311398
137.5,35.0852345569
138,35.1364270554
138.5,35.1801079332
139,35.2403827802
139.5,35.297671288
140,35.3489522048
140.5,35.4198761957
141,35.4802698652
141.5,35.5512712908
142,35.6192910208
142.5,35.6782730529
143,35.737284629
143.5,35.8084406727
144,35.8766095807
144.5,35.9493673944
145,36.0221713034
145.5,36.1102047105
146,36.1876699498
146.5,36.2667090777
147,36.3594994125
147.5,36.4234329944
148,36.4675992529
148.5,36.5254991969
149,36.588004626
149.5,36.6383399898
150,36.6993839663
150.5,36.7299189271
151,36.7742100531
151.5,36.7986543823
152,36.8383883607
152.5,36.8643762891
153,36.8873120957
153.5,36.894958467
154,36.894958467
154.5,36.894958467
155,36.894958467
155.5,36.8934291486
156,36.8766081023
156.5,36.8582609108
157,36.8490885032
157.5,36.8460312098
158,36.8521458845
158.5,36.8735500169
159,36.8934291486
159.5,36.9331986108
160,36.9699221792
160.5,36.9944116732
161,37.0219691779
161.5,37.0709781978
162,37.1138799604
162.5,37.1598657683
163,37.192067967
163.5,37.2258143605
164,37.2672454856
164.5,37.2918051398
165,37.3363345074
165.5,37.3824197838
166,37.4085440239
166.5,37.4546620103
167,37.4946479144
167.5,37.5284945059
168,37.5654310335
168.5,37.6039210288
169,37.6455068426
169.5,37.6871099819
170,37.7456920326
170.5,37.7904226878
171,37.8243698022
171.5,37.8876661302
172,37.926281501
172.5,37.9695488306
173,38.0685178648
173.5,38.1072051127
174,38.161393341
174.5,38.1970193822
175,38.2466080893
175.5,38.2900193309
176,38.3287960953
176.5,38.3644847066
177,38.3893194969
177.5,38.4250309417
178,38.4654166902
178.5,38.5104828018
179,38.555570585
179.5,38.5851226502
180,38.5991242643
