"Freq [GHz]","VSWRt(1) []","VSWRt(2) []"
1,1.73019436299476,1.73024008350777
1.45,2.09343344067408,2.09357453118172
1.9,2.40408130391143,2.40435628570857
2.35,2.60543109157402,2.60587960244891
2.8,2.65783369552767,2.65848287380331
3.25,2.55051921335803,2.55137719609919
3.7,2.30479977287884,2.3058612450213
4.15,1.96772920372518,1.9690007309531
4.6,1.59828585378826,1.59986297388077
5.05,1.25137762259717,1.2538768640262
5.5,1.06440630321882,1.07064561644202
5.95,1.37280364854891,1.37444108194281
6.4,1.76143102832577,1.76179333547019
6.85,2.13743322860704,2.13689741444684
7.3,2.49596209531728,2.49435320084701
7.75,2.75304312241778,2.7501502567412
8.2,2.86278967521196,2.85849560270025
8.65,2.80602268239484,2.8003739707522
9.1,2.59671043961406,2.58989315013365
9.55,2.27812557399977,2.27033093005802
10,1.9113345373113,1.90251299795645
